path_id,user_id,path,n_touches,converted
1,7357,ctx_brand > social > retarget > retarget > retarget,5,1
2,27472,cpa > retarget > retarget,3,1
3,39914,influencer > ctx_category > retarget,3,1
4,5104,ctx_category > social > ctx_category > retarget,4,1
5,24112,cpa > retarget,2,1
6,11458,influencer > retarget > cpa > cpa > ctx_brand > retarget,6,1
7,32291,retarget > ctx_category > cpa > ctx_brand > social > retarget,6,1
8,28839,social > cpa > cpa > retarget,4,1
9,34074,influencer > ctx_brand > ctx_brand > retarget,4,1
10,20256,organic > retarget,2,1
11,32900,cpa > retarget,2,1
12,1173,cpa > ctx_category > retarget,3,1
13,35857,influencer > retarget > ctx_category > retarget,4,1
14,25008,retarget > retarget > ctx_category > ctx_category,4,1
15,31545,cpa > ctx_brand > retarget > cpa > retarget,5,1
16,36628,cpa > cpa > cpa > social > ctx_brand > retarget,6,1
17,38375,influencer > social > cpa > ctx_brand > influencer > retarget,6,1
18,18455,ctx_brand > cpa > ctx_brand > retarget,4,1
19,31333,social > ctx_category > retarget,3,1
20,31627,social > ctx_category,2,1
21,38580,ctx_brand > ctx_category > ctx_category > ctx_brand > retarget,5,1
22,107,influencer > ctx_brand > social > influencer > ctx_category > retarget,6,1
23,33616,influencer > social > retarget,3,1
24,3618,retarget > cpa > ctx_category > retarget,4,1
25,34737,ctx_brand > ctx_brand > retarget > ctx_brand > retarget,5,1
26,973,cpa > retarget,2,1
27,5443,influencer > influencer > ctx_category > influencer > ctx_brand > retarget,6,1
28,39076,influencer > cpa > social > social > cpa > retarget,6,1
29,17000,ctx_brand > retarget > cpa > retarget,4,1
30,15034,influencer > cpa > cpa > retarget,4,1
31,18816,organic > retarget,2,1
32,1726,influencer > influencer > retarget > retarget,4,1
33,18791,influencer > influencer > influencer > retarget,4,1
34,15804,retarget > ctx_category > ctx_category > retarget,4,1
35,11471,retarget > retarget,2,1
36,23423,influencer > ctx_brand > ctx_category > retarget,4,1
37,2085,influencer > ctx_brand > ctx_brand > cpa > retarget > ctx_category > cpa > retarget,8,1
38,38987,influencer > cpa > retarget > ctx_category > influencer > retarget,6,1
39,32630,organic > retarget,2,1
40,11479,ctx_category > cpa > retarget,3,1
41,35275,organic,1,1
42,19696,influencer > retarget,2,1
43,4721,influencer > retarget,2,1
44,11724,ctx_brand > retarget,2,1
45,3428,cpa > ctx_brand > cpa > retarget,4,1
46,23399,cpa > cpa > retarget,3,1
47,1283,cpa > retarget,2,1
48,19293,cpa > retarget,2,1
49,416,retarget > ctx_category > influencer > ctx_category > ctx_category > social > retarget,7,1
50,13378,organic > retarget,2,1
51,32948,ctx_category > retarget,2,1
52,12775,ctx_category > retarget,2,1
53,23662,organic > retarget,2,1
54,30110,influencer > cpa > influencer > influencer > ctx_category > retarget,6,1
55,32170,influencer > cpa > ctx_category > retarget,4,1
56,16950,cpa > ctx_category > social > ctx_category > retarget,5,1
57,2626,influencer > ctx_category > retarget,3,1
58,25077,ctx_category > ctx_brand > retarget > retarget,4,1
59,15430,retarget > cpa > retarget,3,1
60,38726,influencer > retarget > retarget,3,1
61,129,social > retarget,2,1
62,33795,social > social > retarget > retarget,4,1
63,13788,cpa > ctx_category > ctx_brand > cpa > retarget,5,1
64,11801,cpa > retarget,2,1
65,26610,ctx_category > ctx_brand > retarget,3,1
66,3356,retarget > ctx_brand > ctx_category > retarget,4,1
67,30197,cpa > ctx_category > retarget > retarget,4,1
68,9417,social > retarget,2,1
69,12002,influencer > retarget > social > retarget,4,1
70,8692,ctx_brand > cpa > ctx_category > retarget,4,1
71,13752,retarget > ctx_brand > ctx_brand,3,1
72,6769,organic > retarget,2,1
73,14601,organic > retarget,2,1
74,39715,ctx_brand > cpa > ctx_category > retarget,4,1
75,29406,influencer > retarget > retarget > ctx_brand,4,1
76,14786,ctx_category > influencer > influencer > retarget,4,1
77,115,ctx_brand > cpa > retarget > retarget,4,1
78,16123,ctx_category > cpa > cpa > retarget,4,1
79,18825,ctx_category > influencer > retarget,3,1
80,31042,retarget > ctx_category,2,1
81,38476,ctx_category > ctx_category > influencer > retarget,4,1
82,38837,influencer > ctx_brand > ctx_brand > influencer > retarget > retarget,6,1
83,14700,influencer > cpa > ctx_category > social > retarget,5,1
84,7700,influencer > influencer > retarget > ctx_brand > social > retarget,6,1
85,16570,ctx_category > ctx_brand > ctx_brand > retarget > social > influencer > retarget,7,1
86,40000,social > ctx_brand > retarget,3,1
87,24442,influencer > ctx_brand > cpa > retarget,4,1
88,11075,influencer > ctx_brand > social > retarget,4,1
89,13361,influencer > cpa > cpa > influencer > retarget,5,1
90,37538,social > ctx_category > influencer > retarget,4,1
91,8187,influencer > retarget > retarget,3,1
92,24876,ctx_brand > cpa > ctx_category > retarget,4,1
93,20184,influencer > retarget > ctx_brand,3,1
94,30959,ctx_brand > ctx_brand > retarget > social > influencer > retarget,6,1
95,21697,ctx_brand > retarget,2,1
96,37946,cpa > cpa > retarget,3,1
97,7812,retarget > influencer > retarget,3,1
98,10481,influencer > retarget > retarget > social > ctx_category > retarget,6,1
99,13256,influencer > retarget,2,1
100,36141,retarget > influencer > retarget,3,1
101,19675,influencer > ctx_category > retarget > cpa > social > retarget,6,1
102,15035,ctx_brand > retarget > cpa > retarget > retarget > cpa > retarget,7,1
103,4108,cpa > cpa > influencer > ctx_category,4,1
104,11442,social > ctx_category > ctx_brand > ctx_brand > retarget,5,1
105,38055,retarget > cpa,2,1
106,30554,social > social > ctx_brand > retarget,4,1
107,26220,influencer > ctx_brand > ctx_brand,3,1
108,2022,influencer > retarget > cpa > cpa > ctx_category > retarget,6,1
109,19309,social > ctx_category > social > retarget,4,1
110,39872,retarget > ctx_brand > retarget,3,1
111,28134,cpa > influencer > retarget > retarget > retarget,5,1
112,25933,ctx_brand > cpa > ctx_brand > cpa > retarget,5,1
113,17676,ctx_category > influencer > retarget,3,1
114,24201,social > ctx_category > ctx_category > retarget,4,1
115,12235,influencer > ctx_brand > retarget > retarget > ctx_brand > cpa > ctx_category > retarget,8,1
116,26536,retarget > ctx_category > retarget,3,1
117,4432,cpa > cpa > ctx_category > retarget,4,1
118,24434,retarget > retarget,2,1
119,13834,ctx_category > ctx_category > influencer > cpa > ctx_brand > retarget,6,1
120,11316,influencer > social > cpa > retarget > social,5,1
121,19845,influencer > retarget,2,1
122,4097,ctx_brand > influencer > retarget,3,1
123,11610,influencer > cpa > retarget,3,1
124,21766,influencer > ctx_category > ctx_category > ctx_brand > retarget,5,1
125,23912,cpa > ctx_category > retarget,3,1
126,4219,cpa > cpa > social > retarget,4,1
127,31974,influencer > influencer > ctx_brand > ctx_category > ctx_category > cpa > cpa > cpa,8,1
128,39046,influencer > organic > retarget,3,1
129,6722,ctx_brand > retarget > retarget,3,1
130,10068,influencer > ctx_brand > retarget > retarget > ctx_category > retarget,6,1
131,10954,cpa > ctx_category > social > ctx_category,4,1
132,9334,retarget > influencer > social > cpa > retarget > retarget,6,1
133,16525,ctx_category > retarget > ctx_brand > retarget > ctx_brand > retarget,6,1
134,30043,influencer > ctx_category > influencer > retarget,4,1
135,15519,ctx_brand > retarget > ctx_brand > influencer > retarget,5,1
136,11645,retarget > ctx_category > retarget,3,1
137,22336,organic > retarget,2,1
138,4996,influencer > ctx_category > influencer > influencer > retarget,5,1
139,11240,influencer > influencer > ctx_category > retarget > retarget,5,1
140,11559,influencer > ctx_brand > cpa > cpa > retarget,5,1
141,12863,organic > retarget,2,1
142,11990,influencer > ctx_category > retarget,3,1
143,32371,cpa > retarget,2,1
144,19530,influencer > retarget > retarget,3,1
145,8270,ctx_brand > influencer,2,1
146,26092,influencer > social > social > retarget,4,1
147,15197,influencer > retarget > retarget,3,1
148,32879,retarget > social > retarget,3,1
149,39165,social > ctx_brand > retarget > retarget,4,1
150,30552,ctx_category > influencer > retarget,3,1
151,27922,influencer > social > retarget > retarget,4,1
152,39299,ctx_category > cpa > retarget,3,1
153,22778,ctx_category > ctx_category > ctx_category > retarget > retarget,5,1
154,15506,influencer > ctx_brand > ctx_brand > ctx_category > ctx_brand > retarget,6,1
155,11346,ctx_category > retarget,2,1
156,8013,influencer > cpa > retarget,3,1
157,5391,ctx_brand > retarget > ctx_category > ctx_category > retarget,5,1
158,27365,social > ctx_category > retarget > retarget,4,1
