month,channel,spend_mln_rub,new_customers
2025-08,ctx_brand,3.2,8375.0
2025-08,ctx_category,9.8,11656.0
2025-08,social,6.9,6448.0
2025-08,cpa,10.1,7010.0
2025-08,influencer,5.7,3129.0
2025-08,tv,12.0,
2025-09,ctx_brand,3.2,8327.0
2025-09,ctx_category,9.8,10951.0
2025-09,social,6.9,7318.0
2025-09,cpa,10.1,6924.0
2025-09,influencer,5.7,2575.0
2025-09,tv,12.0,
2025-10,ctx_brand,3.2,9445.0
2025-10,ctx_category,9.8,10302.0
2025-10,social,6.9,5901.0
2025-10,cpa,10.1,8529.0
2025-10,influencer,5.7,2950.0
2025-10,tv,12.0,
2025-11,ctx_brand,3.2,9612.0
2025-11,ctx_category,9.8,10736.0
2025-11,social,6.9,5481.0
2025-11,cpa,10.1,6083.0
2025-11,influencer,5.7,3307.0
2025-11,tv,12.0,
2025-12,ctx_brand,3.2,8722.0
2025-12,ctx_category,9.8,11444.0
2025-12,social,6.9,4838.0
2025-12,cpa,10.1,6562.0
2025-12,influencer,5.7,3454.0
2025-12,tv,12.0,
2026-01,ctx_brand,3.2,7182.0
2026-01,ctx_category,9.8,9643.0
2026-01,social,6.9,6327.0
2026-01,cpa,10.1,7030.0
2026-01,influencer,5.7,3072.0
2026-01,tv,12.0,
2026-02,ctx_brand,3.2,8312.0
2026-02,ctx_category,9.8,9514.0
2026-02,social,6.9,5567.0
2026-02,cpa,10.1,8050.0
2026-02,influencer,5.7,2530.0
2026-02,tv,12.0,
2026-03,ctx_brand,3.2,9462.0
2026-03,ctx_category,9.8,11256.0
2026-03,social,6.9,5405.0
2026-03,cpa,10.1,6805.0
2026-03,influencer,5.7,3136.0
2026-03,tv,12.0,
2026-04,ctx_brand,3.2,8625.0
2026-04,ctx_category,9.8,10358.0
2026-04,social,6.9,6715.0
2026-04,cpa,10.1,7428.0
2026-04,influencer,5.7,2734.0
2026-04,tv,12.0,
2026-05,ctx_brand,3.2,7973.0
2026-05,ctx_category,9.8,10705.0
2026-05,social,6.9,5365.0
2026-05,cpa,10.1,7337.0
2026-05,influencer,5.7,2938.0
2026-05,tv,12.0,
2026-06,ctx_brand,3.2,8978.0
2026-06,ctx_category,9.8,9653.0
2026-06,social,6.9,5428.0
2026-06,cpa,10.1,8336.0
2026-06,influencer,5.7,2938.0
2026-06,tv,12.0,
2026-07,ctx_brand,3.2,7807.0
2026-07,ctx_category,9.8,11462.0
2026-07,social,6.9,5886.0
2026-07,cpa,10.1,6221.0
2026-07,influencer,5.7,2904.0
2026-07,tv,12.0,
2026-08,ctx_brand,3.2,7335.0
2026-08,ctx_category,9.8,10693.0
2026-08,social,6.9,6124.0
2026-08,cpa,10.1,7123.0
2026-08,influencer,5.7,2712.0
2026-08,tv,12.0,
