user_id,channel,group,n_orders_before,days_since_last_order,promo_hunter,second_order_30d
34797,ctx_brand,control,7,3.6,1,0
14596,cpa,treatment,5,17.5,0,0
24682,organic,control,5,6.7,0,1
5392,ctx_category,control,3,18.8,1,0
23950,organic,control,6,8.1,0,1
30065,ctx_category,control,1,16.3,0,0
17102,ctx_category,control,7,6.7,0,1
9508,ctx_brand,control,5,8.4,0,1
27589,organic,control,6,7.8,0,1
32506,organic,control,4,12.1,1,0
13580,organic,control,6,4.4,1,0
35263,ctx_category,treatment,7,2.8,0,1
27070,ctx_brand,control,5,1.0,0,1
13874,tv,control,8,8.6,0,0
39501,ctx_brand,control,2,20.8,0,0
10201,ctx_category,control,4,16.7,0,0
29863,social,control,5,15.8,0,0
27939,influencer,control,6,3.8,1,0
31362,social,control,8,8.4,0,0
15435,organic,control,6,6.4,0,0
24965,influencer,control,8,6.8,1,0
37053,ctx_category,treatment,2,17.6,1,0
4432,influencer,control,1,22.1,0,0
27911,organic,control,5,4.3,0,0
675,organic,treatment,2,17.9,0,1
34618,organic,control,2,23.3,1,0
9240,organic,control,1,22.3,0,0
31357,ctx_brand,control,3,23.5,0,0
24807,ctx_category,treatment,6,4.8,0,0
7213,ctx_brand,treatment,3,12.5,0,0
15345,cpa,treatment,3,14.7,0,1
1918,ctx_category,control,8,6.5,0,1
19476,organic,control,5,4.8,0,0
30472,organic,control,6,8.2,0,1
14998,social,treatment,8,8.3,1,1
39451,organic,control,4,9.9,0,0
33289,ctx_brand,treatment,1,17.9,0,0
19708,ctx_brand,control,7,3.4,0,0
19947,ctx_category,control,7,6.4,0,0
32190,ctx_brand,treatment,7,7.0,0,1
8565,ctx_category,control,2,21.5,1,0
30581,organic,control,6,7.6,0,1
31246,ctx_category,treatment,1,17.3,0,0
38713,ctx_category,control,6,9.2,0,0
19796,ctx_brand,treatment,5,1.9,0,1
3576,organic,treatment,2,20.4,0,0
39886,ctx_category,treatment,8,7.0,0,1
29433,ctx_brand,treatment,2,23.9,0,0
8794,tv,treatment,6,3.1,0,0
28548,social,control,2,26.0,1,0
11336,ctx_brand,control,3,19.3,0,0
19240,ctx_brand,control,3,23.9,0,0
767,social,control,6,6.3,0,1
8453,cpa,treatment,5,5.2,0,1
10617,organic,control,6,3.9,0,0
8841,ctx_category,treatment,5,12.0,0,1
5309,organic,treatment,5,5.7,0,1
30067,ctx_brand,treatment,3,17.3,0,0
9663,ctx_brand,control,6,11.7,0,0
33157,ctx_brand,treatment,9,5.5,0,1
35793,organic,treatment,3,12.2,0,1
39604,organic,treatment,7,9.3,0,1
35129,organic,treatment,6,3.2,0,0
6552,organic,control,5,1.8,1,1
34158,ctx_brand,treatment,1,26.1,0,0
18302,cpa,control,3,20.8,1,0
36973,ctx_category,treatment,2,19.7,0,0
15400,ctx_category,control,7,9.5,0,1
27847,ctx_category,treatment,5,3.4,1,0
27040,organic,control,7,3.1,0,1
37093,organic,treatment,4,20.6,0,0
16630,organic,control,5,7.3,0,0
7767,organic,treatment,8,6.4,0,0
11688,influencer,treatment,3,14.6,1,0
9723,ctx_category,control,2,21.6,0,0
10892,organic,control,6,7.1,0,1
27637,cpa,treatment,7,4.9,0,0
32948,organic,treatment,5,2.4,0,1
36450,cpa,treatment,6,5.7,0,0
32606,organic,treatment,10,4.2,0,1
3104,organic,control,4,20.3,1,0
7986,organic,control,2,24.8,0,0
27886,social,control,5,5.0,0,1
32217,ctx_category,treatment,6,1.7,0,0
